Point_X,Point_Y,HandTra,HandVel,HandAcc,ElbowTra,ElbowVel,ElbowAcc,ShoulderTra,ShoulderVel,ShoulderAcc,TimeRe,BR,Tlh,Tlt,BI,DA,DP,PC
0.918373,0.103142,0.924152495079743,0.000315473547344313,-0.0417011412399147,124.518999901032,0.628765150195827,27.4490992155826,56.5881204923843,-1.36907628672489,-13.1994684376405,0,0.00819748593791166,0.00180094453018913,0.00291873747417197,0.00142523442801468,0.00137251564484159,0.00571168677181533,0.00269594823821993
0.918374040093191,0.103141998371165,0.924153063268087,0.000186068402639521,-0.0455211941934686,124.52025468419,0.758876100423667,18.532037749644,56.5838871253507,-1.44710144386516,0.289884378114754,0.00334448160535117,0.00805428210357898,0.00177527971341987,0.00308937006240187,0.00146993240901941,0.00135436966467545,0.00578652418474223,0.00248658599536896
0.918374157806909,0.103141999195805,0.924153325622581,0.000255128990394188,-0.0465317925811986,124.521960427771,0.865339001610825,8.78009632879041,56.5792052616113,-1.47961472630402,13.7535888377421,0.00668896321070234,0.00795984721036427,0.0017629567226293,0.00325177361673874,0.00152500593224542,0.00133327586558612,0.00563623202081793,0.00230171509673083
0.918373755533618,0.103142000829133,0.924153275728507,0.000457551868398989,-0.0447236662826272,124.524057707224,0.945431446032923,-1.39214615186933,56.5742312476967,-1.46780007166167,26.817624991848,0.0100334448160535,0.00789944138223751,0.00175770427319115,0.00340136148373674,0.00158858679543099,0.00130678711437011,0.00525418833889169,0.00215531758488682
0.918373235665782,0.103142001626361,0.92415290717115,0.000728233594444598,-0.0400875451772771,124.526487098001,0.996431025965584,-11.5701107972265,56.5691214301374,-1.41284141755831,39.1079728910391,0.0133779264214047,0.00785671562419474,0.00175386541369019,0.0035347233995836,0.0016570828822003,0.00127383454644761,0.00466717533655344,0.00205636081333683
0.918373000595199,0.103141999942707,0.924152213535836,0.00100207077264317,-0.0326141595161197,124.529189175526,1.01561533676213,-21.3392187457462,56.564032155462,-1.31592270459864,50.2506126706451,0.0167224080267559,0.00781828800521278,0.00174868738498546,0.00365095552299775,0.00172526397779064,0.00123558311541457,0.00393460819690406,0.00200782429654654
0.918373301589753,0.103141995861766,0.924151198017741,0.00122447391694096,-0.0223785498737779,124.532099130241,1.00096054114967,-30.2925116678187,56.559119302095,-1.1789052837093,59.8907546723598,0.020066889632107,0.00777721024741885,0.0017438876199268,0.0037531458454681,0.00178703521962297,0.00119566605535077,0.00314022718457854,0.00200617543894383
0.91837381489381,0.103141996043568,0.924149900377322,0.00138085876045117,-0.00977655594042038,124.535131662823,0.953100836908977,-38.0520272072275,56.5545369673355,-1.00622803870655,67.7467797931098,0.0234113712374582,0.00773496886684001,0.00174615151211554,0.00384849059473673,0.0018362262872558,0.00115998261141131,0.0023824175975028,0.00204216510149833
0.9183740977705,0.103142007760031,0.924148369884878,0.00146655358966153,0.00471293401233657,124.538196582832,0.873378163521472,-44.2505885711165,56.5504378109054,-0.802990092119197,73.5580564674721,0.0267558528428094,0.00770123013199354,0.00176635349772861,0.00394785177140876,0.00186780745325598,0.0011357708187865,0.00175929833164526,0.00210225366014963
0.918374071779672,0.103142018757687,0.924146672513886,0.00148507186201714,0.0204723720019524,124.541203319564,0.764685920608841,-48.6008036487423,56.546953695736,-0.575260399449842,77.1375238636187,0.0301003344481605,0.00769148028795124,0.00181768552631914,0.00406425351708175,0.00187897601797698,0.00113027633599394,0.00135375210081591,0.00217088412679631
0.918373999770275,0.103141998491573,0.924144889886331,0.0014475948085633,0.0367543056238386,124.544060946168,0.631371012903325,-50.8900282133687,56.5441970008268,-0.330016513232836,78.3670471965487,0.0334448160535117,0.00772299582413984,0.00191290210995499,0.00421036554801268,0.00186994195711211,0.00114925619724989,0.00122139059530755,0.00223285964458274
0.918374059987743,0.103141942930131,0.924143107114164,0.00134992273451619,0.0527856887652151,124.546681754962,0.478295626134758,-50.9497687675602,56.5422673942568,-0.0744600710420688,77.16400471685,0.0367892976588629,0.00780983079466793,0.00206151615913623,0.00439613410327623,0.00184431745593611,0.00119556488656654,0.00138047754812161,0.00227591634070057
0.918374076809453,0.103141946567359,0.924141419758887,0.0011311101104311,0.0677189565335655,124.548989740726,0.311984356498293,-48.7609193439904,56.5412212516254,0.183522921158343,73.564707752298,0.040133779264214,0.00795775761945227,0.00226692908687203,0.00462591288383315,0.00180891821923826,0.00126811023766159,0.00180828058260959,0.00229256054241815
0.918373810845214,0.103142132092181,0.924139925332927,0.000727572027654426,0.0806941338022959,124.550912550054,0.139359764916674,-44.3444941593087,56.5411030950277,0.435905035554792,67.6369902064903,0.0434782608695652,0.00816068043404652,0.00252507200042174,0.00489714070702446,0.00177287658278758,0.0013616536899352,0.00244372801451236,0.00228134086495992
0.918373332843803,0.103142734791832,0.924138713484292,0.000270018194605965,0.0909359572824305,124.552396976156,-0.0322375826316797,-37.8421194879116,56.541918173659,0.674913782737038,59.5367327148582,0.0468227424749164,0.00839874032247848,0.00282367130296297,0.00519935084084916,0.00174635048838537,0.00146721148408623,0.00319534598065981,0.00224693798951745
0.918372991718651,0.103144090911276,0.924137866806004,6.34196430300243e-05,0.0977451553059253,124.553406986933,-0.195092212586154,-29.5036090698285,56.5436365091784,0.893005381220449,49.4987927306528,0.0501672240802676,0.00863933681231705,0.00314331909875027,0.00551503420258287,0.00173884469670802,0.00157336042264421,0.00395456988677162,0.00219930457777686
